throttles,time,vehicle_mass,vehicle_propellant,pursuer_pos_x,pursuer_pos_y,pursuer_pos_z,pursuer_vel_x,pursuer_vel_y,pursuer_vel_z,evader_pos_x,evader_pos_y,evader_pos_z,evader_vel_x,evader_vel_y,evader_vel_z
"[0, -1.0, 0]",23.519999999999587,6663.90771484375,1194.7269287109375,719822.9974502343,-210503.66224232502,-31.45309569213479,604.2320120846099,2084.295559649243,-4.168594784296256,720579.4188110917,-207998.0687095753,-0.3636292814457356,601.7432682444528,2084.8794575326674,0.003611327581266366
"[0, 1.0, 0]",24.059999999999576,6663.83984375,1194.7099609375,720148.4001881741,-209377.8850753395,-33.698920483517306,600.9700254065286,2085.246723785974,-4.158860411670493,720903.4789148725,-206871.98229869956,-0.3616764366653129,598.4851751302696,2085.8171621060815,0.003611976381892923
"[0, 1.0, 0]",24.599999999999564,6663.02392578125,1194.505859375,720460.1311265421,-208293.33175071393,-35.91900107876131,598.0013665871646,2086.109792965584,-4.3887613754834165,721225.7808265365,-205745.3896942721,-0.3597247075569143,595.2256206477737,2086.7497751258097,0.0036129567337370716
"[0, 1.0, 0]",25.67999999999954,6661.23046875,1194.0576171875,721102.2898075067,-206039.2730679524,-40.43257607460761,591.0259340643341,2088.1137445792965,-3.9232152160748326,721865.1033424257,-203490.6978270632,-0.35582252772559286,588.7021581590892,2088.5997176062074,0.003612028409772261
"[0, 1.0, 0]",26.21999999999953,6661.16259765625,1194.0406494140625,721432.3813636734,-204869.67768085015,-42.6243479926026,587.7579571059811,2089.0444996936485,-3.9134378473307847,722182.1200009016,-202362.60747855876,-0.35387051327885644,585.4382666517023,2089.51704278861,0.003611564046992921
"[0, 1.0, 0]",26.75999999999952,6660.3408203125,1193.8350830078125,721748.8446718747,-203741.33157799163,-44.675402232756745,584.3227487060472,2090.0160805934424,-3.6755469478048544,722497.3747503592,-201234.02204744815,-0.3519223363454458,582.172945573423,2090.4292677529675,0.003610895603721964
"[0, 1.0, 0]",27.299999999999507,6659.453125,1193.604736328125,722063.4488302248,-202612.4609431712,-46.5927539537606,580.8778774143921,2090.985181732828,-3.4262096904541113,722810.8671869119,-200104.94385474126,-0.34997297217521606,578.9062034221593,2091.3363896467836,0.003611158823509708
"[0, 1.0, 0]",27.839999999999495,6658.53564453125,1193.3837890625,722376.1922026213,-201483.06852209067,-48.37531966268203,577.4311843829078,2091.9487509743485,-3.17659193238116,723122.5922725783,-198975.38022963487,-0.34802686347744327,575.6380480211237,2092.238406686956,0.003610621400226499
"[0, 1.0, 0]",28.379999999999484,6657.685546875,1193.17138671875,722675.5930905186,-200395.01496007247,-49.96454209634845,574.1109905649352,2092.871674179243,-2.936535260155543,723432.5531532402,-197845.3314964376,-0.34607927928436766,572.3684864972784,2093.135316858115,0.0036109419472016846
"[0, 1.0, 0]",28.919999999999472,6656.76806640625,1192.94189453125,722996.0932746563,-199222.7297073237,-51.53601638301354,570.5332503968061,2093.8601735440534,-2.6772397546085216,723740.7472156411,-196714.79953608665,-0.344134243941717,569.097527461268,2094.027117413351,0.0036111325008558737
